,target,vin,type,region
16,Soupes,Jurançon,Blanc,SudOuest
16,Soupes,Loupiac ,Blanc,Bordeaux
16,Soupes,Sainte-Croix-du-Mont,Blanc,Bordeaux
16,Soupes,Saumur Champigny,Rouge,PaysdeLoire
16,Soupes,Vacqueyras,Rouge,Rhône
16,Soupes,Arbois,Rouge,Jura/Savoie
16,Soupes,Côtes du Jura,Blanc,Jura
16,Soupes,Vin jaune,Blanc,Jura
16,Soupes,Anjou,Rouge,PaysdeLoire
16,Soupes,Arbois,Blanc,Jura/Savoie
16,Soupes,Barsac,Blanc,Bordeaux
16,Soupes,Bonnes-mares,Rouge,Bourgogne
16,Soupes,Chablis grand cru,Blanc,Bourgogne
16,Soupes,Gaillac,Blanc,SudOuest
16,Soupes,Haut-Médoc,Rouge,Bordeaux
16,Soupes,Juliénas,Rouge,Beaujolais
16,Soupes,Lalande de Pomerol,Rouge,Bordeaux
16,Soupes,Mâcon,Rosé,Bourgogne
16,Soupes,Mâcon supérieur,Rosé,Bourgogne
16,Soupes,Médoc,Rouge,Bordeaux
16,Soupes,Musigny,Rouge,Bourgogne
16,Soupes,Riesling,Blanc,Alsace
16,Soupes,Saint-Joseph,Rouge,Rhône
16,Soupes,Saint-Romain,Rouge,Bourgogne
16,Soupes,Tokay Pinot gris,Blanc,Alsace
16,Soupes,Touraine,Blanc,PaysdeLoire
16,Soupes,Vosne-romanée,Rouge,Bourgogne
16,Soupes,Alsace-grand cru Riesling,Blanc,Alsace
16,Soupes,Côtes du Roussillon villages,Rosé,Languedoc/Roussillon
16,Soupes,Côtes du Roussillon,Rosé,Languedoc/Roussillon
16,Soupes,Mâcon supérieur,Blanc,Bourgogne
